persistent_identifier,path_to_script_dataset_generation,path_to_raw_dataset,path_to_effort_dataset,spatial_stratification
east_pacific_ocean_effort_1deg_1m_ps_tunaatlasIATTC_level0__shark_bySchool,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__byschool.R,http://data.d4science.org/UmY4Z2duUkFRWnF6R2hYM1ZXaElmdVdJekhGWDd4TTdHbWJQNStIS0N6Yz0,,
east_pacific_ocean_catch_1deg_1m_ps_tunaatlasIATTC_level0__tuna_byFlag,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_catch_1deg_1m_ps_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/dkhxdEQxZEd5QTJ6R2hYM1ZXaElmbFRrQWdPVTZkQ1VHbWJQNStIS0N6Yz0,,
east_pacific_ocean_effort_1deg_1m_ps_tunaatlasIATTC_level0__tuna_byFlag,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__byflag.R,http://data.d4science.org/dkhxdEQxZEd5QTJ6R2hYM1ZXaElmbFRrQWdPVTZkQ1VHbWJQNStIS0N6Yz0,,
east_pacific_ocean_catch_1deg_1m_ps_tunaatlasIATTC_level0__tuna_bySchool,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_catch_1deg_1m_ps_tunaatlasiattc_level0__byschool.R,http://data.d4science.org/T1dESllJQ1RocTZ6R2hYM1ZXaElmbmpzcUwwL1dXZDFHbWJQNStIS0N6Yz0,,
east_pacific_ocean_effort_1deg_1m_ps_tunaatlasIATTC_level0__tuna_bySchool,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_1deg_1m_ps_tunaatlasiattc_level0__byschool.R,http://data.d4science.org/T1dESllJQ1RocTZ6R2hYM1ZXaElmbmpzcUwwL1dXZDFHbWJQNStIS0N6Yz0,,
east_pacific_ocean_catch_5deg_1m_ll_tunaatlasIATTC_level0__shark,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_catch_5deg_1m_ll_tunaatlasiattc_level0.R,http://data.d4science.org/QnR6NEUveTNlTit6R2hYM1ZXaElma1h5UlJaYmpSQVJHbWJQNStIS0N6Yz0,http://data.d4science.org/anNzR0dWUjZBb1d6R2hYM1ZXaElmbU0wOVNJVTMyS1pHbWJQNStIS0N6Yz0,
east_pacific_ocean_effort_5deg_1m_ll_tunaatlasIATTC_level0__shark,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_5deg_1m_ll_tunaatlasiattc_level0.R,http://data.d4science.org/anNzR0dWUjZBb1d6R2hYM1ZXaElmbU0wOVNJVTMyS1pHbWJQNStIS0N6Yz0,,
east_pacific_ocean_catch_5deg_1m_ll_tunaatlasIATTC_level0__tuna_billfish,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_catch_5deg_1m_ll_tunaatlasiattc_level0.R,http://data.d4science.org/V3ZvT0t2KzNQSE96R2hYM1ZXaElmaFBCMUxPWVVDOFFHbWJQNStIS0N6Yz0,http://data.d4science.org/V3ZvT0t2KzNQSE96R2hYM1ZXaElmcXlBb0ZnUWJqb21HbWJQNStIS0N6Yz0,
east_pacific_ocean_effort_5deg_1m_ll_tunaatlasIATTC_level0__tuna_billfish,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_effort_5deg_1m_ll_tunaatlasiattc_level0.R,http://data.d4science.org/V3ZvT0t2KzNQSE96R2hYM1ZXaElmcXlBb0ZnUWJqb21HbWJQNStIS0N6Yz0,,
east_pacific_ocean_nominal_catch_tunaatlasIATTC_level0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/east_pacific_ocean_nominal_catch_tunaatlasiattc_level0.R,http://data.d4science.org/a00rRXhLUnQ5WEt6R2hYM1ZXaElmdWJUTjRZTGl3QlVHbWJQNStIS0N6Yz0,,
indian_ocean_catch_ll_tunaatlasIOTC_level0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/indian_ocean_catch_tunaatlasiotc_level0__coastal_longline.R,http://data.d4science.org/b3hCT0lSNkxnT2V6R2hYM1ZXaElmdmZPVHgxWHVXRUNHbWJQNStIS0N6Yz0,,
indian_ocean_effort_ll_tunaatlasIOTC_level0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/indian_ocean_effort_tunaatlasiotc_level0__coastal_longline.R,http://data.d4science.org/b3hCT0lSNkxnT2V6R2hYM1ZXaElmdmZPVHgxWHVXRUNHbWJQNStIS0N6Yz0,,
indian_ocean_catch_tunaatlasIOTC_level0__coastal,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/indian_ocean_catch_tunaatlasiotc_level0__coastal_longline.R,http://data.d4science.org/QW9KVG5ZRmpuSkt6R2hYM1ZXaElmZ285ckRPbjNEVWlHbWJQNStIS0N6Yz0,,
indian_ocean_effort_tunaatlasIOTC_level0__coastal,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/indian_ocean_effort_tunaatlasiotc_level0__coastal_longline.R,http://data.d4science.org/QW9KVG5ZRmpuSkt6R2hYM1ZXaElmZ285ckRPbjNEVWlHbWJQNStIS0N6Yz0,,
indian_ocean_catch_tunaatlasIOTC_level0__surface,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/indian_ocean_catch_tunaatlasiotc_level0__surface.R,http://data.d4science.org/OXhxV1B3WXcwNjZ6R2hYM1ZXaElmcGMrSU5wSU1iZHNHbWJQNStIS0N6Yz0,,
indian_ocean_effort_tunaatlasIOTC_level0__surface,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/indian_ocean_effort_tunaatlasiotc_level0__surface.R,http://data.d4science.org/OXhxV1B3WXcwNjZ6R2hYM1ZXaElmcGMrSU5wSU1iZHNHbWJQNStIS0N6Yz0,,
indian_ocean_nominal_catch_tunaatlasIOTC_level0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/indian_ocean_nominal_catch_tunaatlasiotc_level0.R,http://data.d4science.org/R1lkWlI4MFEvK2F6R2hYM1ZXaElmaExSQkZVdWpwN2dHbWJQNStIS0N6Yz0,,
southern_hemisphere_oceans_catch_1deg_1m_tunaatlasCCSBT_level0__surface,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/southern_hemisphere_oceans_catch_1deg_1m_tunaatlasccsbt_level0__surface.R,http://data.d4science.org/em5aYkFtamVyeXF6R2hYM1ZXaElmcXVmQk92RW9valJHbWJQNStIS0N6Yz0,,
southern_hemisphere_oceans_effort_1deg_1m_tunaatlasCCSBT_level0__surface,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/southern_hemisphere_oceans_effort_1deg_1m_tunaatlasccsbt_level0__surface.R,http://data.d4science.org/em5aYkFtamVyeXF6R2hYM1ZXaElmcXVmQk92RW9valJHbWJQNStIS0N6Yz0,,
southern_hemisphere_oceans_catch_5deg_1m_ll_tunaatlasCCSBT_level0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/southern_hemisphere_oceans_catch_5deg_1m_ll_tunaatlasccsbt_level0.R,http://data.d4science.org/em5aYkFtamVyeXF6R2hYM1ZXaElmbVFlUUl5aFNuVVlHbWJQNStIS0N6Yz0,,
southern_hemisphere_oceans_effort_5deg_1m_ll_tunaatlasCCSBT_level0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/southern_hemisphere_oceans_effort_5deg_1m_ll_tunaatlasccsbt_level0.R,http://data.d4science.org/em5aYkFtamVyeXF6R2hYM1ZXaElmbVFlUUl5aFNuVVlHbWJQNStIS0N6Yz0,,
southern_hemisphere_oceans_nominal_catch_tunaatlasCCSBT_level0__byGear,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/southern_hemisphere_oceans_nominal_catch_tunaatlasccsbt_level0__bygear.R,http://data.d4science.org/VUgwRUszWFdya0t6R2hYM1ZXaElmcUsxaWNwRXJSdHBHbWJQNStIS0N6Yz0,,
west_pacific_ocean_catch_5deg_1m_bb_tunaatlasWCPFC_level0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_bb_tunaatlaswcpfc_level0.R,http://data.d4science.org/MUhDSVBkaU1aZHl6R2hYM1ZXaElmdnY1cHFJU3NaeUxHbWJQNStIS0N6Yz0,,
west_pacific_ocean_effort_5deg_1m_bb_tunaatlasWCPFC_level0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_effort_5deg_1m_bb_tunaatlaswcpfc_level0.R,http://data.d4science.org/MUhDSVBkaU1aZHl6R2hYM1ZXaElmdnY1cHFJU3NaeUxHbWJQNStIS0N6Yz0,,
west_pacific_ocean_catch_5deg_1m_ll_tunaatlasWCPFC_level0__1950to1970,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/OUYxSHNqNFpsbEd6R2hYM1ZXaElmaWFqaEJnWWI1eE1HbWJQNStIS0N6Yz0,,
west_pacific_ocean_effort_5deg_1m_ll_tunaatlasWCPFC_level0__1950to1970,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_effort_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/OUYxSHNqNFpsbEd6R2hYM1ZXaElmaWFqaEJnWWI1eE1HbWJQNStIS0N6Yz0,,
west_pacific_ocean_catch_5deg_1m_ll_tunaatlasWCPFC_level0__1970to1980,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/MjdWOGdvNGIwWWF6R2hYM1ZXaElmbG90SkFaaGJsR1JHbWJQNStIS0N6Yz0,,
west_pacific_ocean_effort_5deg_1m_ll_tunaatlasWCPFC_level0__1970to1980,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_effort_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/MjdWOGdvNGIwWWF6R2hYM1ZXaElmbG90SkFaaGJsR1JHbWJQNStIS0N6Yz0,,
west_pacific_ocean_catch_5deg_1m_ll_tunaatlasWCPFC_level0__1980to1990,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/eCtad2U1b2I1SGF6R2hYM1ZXaElmZ1pXTG1MT2xGYUZHbWJQNStIS0N6Yz0,,
west_pacific_ocean_effort_5deg_1m_ll_tunaatlasWCPFC_level0__1980to1990,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_effort_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/eCtad2U1b2I1SGF6R2hYM1ZXaElmZ1pXTG1MT2xGYUZHbWJQNStIS0N6Yz0,,
west_pacific_ocean_catch_5deg_1m_ll_tunaatlasWCPFC_level0__1990to2000,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/ZS9IRkF5eG1DNmF6R2hYM1ZXaElmbVdEbFZCR2h6ajNHbWJQNStIS0N6Yz0,,
west_pacific_ocean_effort_5deg_1m_ll_tunaatlasWCPFC_level0__1990to2000,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_effort_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/ZS9IRkF5eG1DNmF6R2hYM1ZXaElmbVdEbFZCR2h6ajNHbWJQNStIS0N6Yz0,,
west_pacific_ocean_catch_5deg_1m_ll_tunaatlasWCPFC_level0__2000,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/UVhteHZzRHVDUHV6R2hYM1ZXaElmczQ0VUhsSEl2dEFHbWJQNStIS0N6Yz0,,
west_pacific_ocean_effort_5deg_1m_ll_tunaatlasWCPFC_level0__2000,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_effort_5deg_1m_ll_tunaatlaswcpfc_level0.R,http://data.d4science.org/UVhteHZzRHVDUHV6R2hYM1ZXaElmczQ0VUhsSEl2dEFHbWJQNStIS0N6Yz0,,
west_pacific_ocean_catch_5deg_1m_ps_tunaatlasWCPFC_level0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_ps_tunaatlaswcpfc_level0.R,http://data.d4science.org/MUhDSVBkaU1aZHl6R2hYM1ZXaElmdng0djYrV3gyclhHbWJQNStIS0N6Yz0,,
west_pacific_ocean_effort_5deg_1m_ps_tunaatlasWCPFC_level0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_effort_5deg_1m_ps_tunaatlaswcpfc_level0.R,http://data.d4science.org/MUhDSVBkaU1aZHl6R2hYM1ZXaElmdng0djYrV3gyclhHbWJQNStIS0N6Yz0,,
west_pacific_ocean_catch_5deg_1m_tunaatlasWCPFC_level0__driftnet,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_catch_5deg_1m_tunaatlaswcpfc_level0__driftnet.R,http://data.d4science.org/anNzR0dWUjZBb1d6R2hYM1ZXaElmdVdjRDY4RjVQdDhHbWJQNStIS0N6Yz0,,
west_pacific_ocean_effort_5deg_1m_tunaatlasWCPFC_level0__driftnet,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_effort_5deg_1m_tunaatlaswcpfc_level0__driftnet.R,http://data.d4science.org/anNzR0dWUjZBb1d6R2hYM1ZXaElmdVdjRDY4RjVQdDhHbWJQNStIS0N6Yz0,,
west_pacific_ocean_nominal_catch_tunaatlasWCPFC_level0,https://raw.githubusercontent.com/ptaconet/rtunaatlas_scripts/master/tunaatlas_world/transform/west_pacific_ocean_nominal_catch_tunaatlaswcpfc_level0.R,http://data.d4science.org/Umw1T0tna2NGUSt6R2hYM1ZXaElmZ3ByZDdWK09FdkVHbWJQNStIS0N6Yz0,,
